timestamp,dpid,packet_count,byte_count,duration_sec
1770562042.6035547,2,2,140,5
1770562042.6035547,2,3,238,5
1770562042.6035547,2,2,140,5
1770562042.6035547,2,3,238,5
1770562042.6035547,2,2,140,5
1770562042.6035547,2,3,238,5
1770562042.6035547,2,2,140,5
1770562042.6035547,2,3,238,5
1770562042.6035547,2,2,140,5
1770562042.6035547,2,3,238,5
1770562042.6035547,2,2,140,5
1770562042.6035547,2,3,238,5
1770562042.6035547,2,2,140,5
1770562042.6035547,2,3,238,5
1770562042.6035547,2,2,140,5
1770562042.6035547,2,3,238,5
1770562042.6035547,2,2,140,5
1770562042.6035547,2,3,238,5
1770562042.6035547,2,2,140,5
1770562042.6035547,2,3,238,5
1770562042.6035547,2,2,140,5
1770562042.6035547,2,3,238,5
1770562042.6035547,2,2,140,5
1770562042.6035547,2,3,238,5
1770562042.6035547,2,2,140,5
1770562042.6035547,2,3,238,5
1770562042.6035547,2,2,140,5
1770562042.6035547,2,3,238,5
1770562042.6035547,2,2,140,5
1770562042.6035547,2,3,238,5
1770562042.6035547,2,2,140,5
1770562042.6035547,2,3,238,5
1770562042.6035547,2,2,140,5
1770562043.600972,1,3,238,6
1770562043.600972,1,2,140,6
1770562043.600972,1,3,238,6
1770562043.600972,1,2,140,6
1770562043.600972,1,3,238,6
1770562043.600972,1,2,140,6
1770562043.600972,1,3,238,6
1770562043.600972,1,2,140,6
1770562043.600972,1,3,238,6
1770562043.600972,1,2,140,6
1770562043.600972,1,3,238,6
1770562043.600972,1,2,140,6
1770562043.600972,1,3,238,6
1770562043.600972,1,2,140,6
1770562043.600972,1,3,238,6
1770562043.600972,1,2,140,6
1770562043.600972,1,3,238,6
1770562043.600972,1,2,140,6
1770562043.600972,1,3,238,6
1770562043.600972,1,2,140,6
1770562043.600972,1,3,238,6
1770562043.600972,1,2,140,6
1770562043.600972,1,3,238,6
1770562043.600972,1,2,140,6
1770562043.600972,1,3,238,6
1770562043.600972,1,2,140,6
1770562043.600972,1,3,238,6
1770562043.600972,1,2,140,6
1770562043.600972,1,3,238,6
1770562043.600972,1,2,140,6
1770562043.600972,1,3,238,6
1770562043.600972,1,2,140,6
1770562043.600972,1,3,238,6
1770562043.600972,1,2,140,6
1770562043.600972,1,3,238,6
1770562043.600972,1,2,140,6
1770562043.600972,1,3,238,6
1770562043.600972,1,2,140,6
1770562043.600972,1,3,238,6
1770562043.600972,1,2,140,6
1770562043.600972,1,3,238,6
1770562043.600972,1,2,140,6
1770562043.600972,1,3,238,6
1770562043.600972,1,2,140,6
1770562043.600972,1,3,238,6
1770562043.600972,1,2,140,6
1770562043.600972,1,3,238,6
1770562043.600972,1,2,140,6
1770562043.600972,1,3,238,6
1770562043.600972,1,2,140,6
1770562043.600972,1,3,238,6
1770562043.600972,1,2,140,6
1770562043.600972,1,3,238,6
1770562043.600972,1,2,140,6
1770562043.606154,4,3,238,6
1770562043.606154,4,2,140,6
1770562043.606154,4,3,238,6
1770562043.606154,4,2,140,6
1770562043.606154,4,3,238,6
1770562043.606154,4,2,140,6
1770562043.606154,4,3,238,6
1770562043.606154,4,2,140,6
1770562043.606154,4,3,238,6
1770562043.606154,4,2,140,6
1770562043.606154,4,3,238,6
1770562043.606154,4,2,140,6
1770562043.606154,4,3,238,6
1770562043.606154,4,2,140,6
1770562043.606154,4,3,238,6
1770562043.606154,4,2,140,6
1770562043.606154,4,3,238,6
1770562043.606154,4,2,140,6
1770562043.606154,4,3,238,6
1770562043.606154,4,2,140,6
1770562043.606154,4,3,238,6
1770562043.606154,4,2,140,6
1770562043.606154,4,3,238,6
1770562043.606154,4,2,140,6
1770562043.606154,4,3,238,6
1770562043.606154,4,2,140,6
1770562043.606154,4,3,238,6
1770562043.606154,4,2,140,6
1770562043.606154,4,3,238,6
1770562043.606154,4,2,140,6
1770562043.606154,4,3,238,6
1770562043.606154,4,2,140,6
1770562043.606154,4,3,238,6
1770562043.606154,4,2,140,6
1770562043.606154,4,3,238,6
1770562043.606154,4,2,140,6
1770562043.606154,4,3,238,6
1770562043.606154,4,2,140,6
1770562043.606154,4,3,238,6
1770562043.606154,4,2,140,6
1770562043.606154,4,3,238,6
1770562043.606154,4,2,140,6
1770562043.606213,2,3,238,6
1770562043.606213,2,3,238,6
1770562043.606213,2,3,238,6
1770562043.606213,2,2,140,6
1770562043.606213,2,3,238,6
1770562043.606213,2,2,140,6
1770562043.606213,2,3,238,6
1770562043.606213,2,2,140,6
1770562043.606213,2,3,238,6
1770562043.606213,2,2,140,6
1770562043.606213,2,3,238,6
1770562043.606213,2,2,140,6
1770562043.606213,2,3,238,6
1770562043.606213,2,2,140,6
1770562043.606213,2,3,238,6
1770562043.606213,2,2,140,6
1770562043.606213,2,3,238,6
1770562043.606213,2,2,140,6
1770562043.606213,2,3,238,6
1770562043.606213,2,2,140,6
1770562043.606213,2,3,238,6
1770562043.606213,2,2,140,6
1770562043.606213,2,3,238,6
1770562043.606213,2,2,140,6
1770562043.606213,2,3,238,6
1770562043.606213,2,2,140,6
1770562043.606213,2,3,238,6
1770562043.606213,2,2,140,6
1770562043.606213,2,3,238,6
1770562043.606213,2,2,140,6
1770562043.606213,2,3,238,6
1770562043.606213,2,2,140,6
1770562043.606213,2,3,238,6
1770562043.606213,2,2,140,6
1770562043.606213,2,3,238,6
1770562043.606213,2,2,140,6
